UNIDAD OPERATIVA,PROVEEDOR,SERIAL,MARCA,MODELO,TIPO DE EQUIPO,OBSERVACIONES
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",2N7TR83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",557389,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",D9HSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",B7HSR93,DELL,Latitude 3420,L2_Equipo Portatil Intermedio,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1524066,KYOCERA,M3145IDN,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1523854,KYOCERA,M3145IDN,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",HRY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539228,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",6BGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",5RY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539227,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",38GSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",6QQY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539226,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",4BGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",DPY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539178,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",H9GSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",15KSR93,DELL,Latitude 3420,L2_Equipo Portatil Intermedio,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",9SY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539181,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",B3KSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",CQY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539193,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",DBGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",CRY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539187,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",GBGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",FQY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539177,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",86DTR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",3QY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539189,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",J8GSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",7SY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539191,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",BBGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",8PY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539242,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",1PGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",BGRSR83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539240,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",85DTR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",8QY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539237,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",5MGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1523298,KYOCERA,M3145IDN,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539249,DELL,,Hace Falta Mouse,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",1RY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",7MGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1523910,KYOCERA,M3145IDN,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",HPY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539188,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",39GSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",G1JCR83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539196,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",C8GSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",8RY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539185,KENSINGTON,K67819WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",F6MSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
